BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
calculix06,11,2.090399,0.739736,0.132215,1.546342,0.276383,23678.929766,48.68846,35.156809,0.002566,0.001404,0.083261,0.000882
calculix06,2,2.084841,0.735603,0.394725,1.533616,0.82294,4796.789298,118.450041,104.680498,0.00443,0.003389,0.08554,0.001002
calculix06,3,2.085767,0.743343,0.332637,1.550441,0.693804,6769.765886,100.982825,88.252899,0.004093,0.002913,0.08512,0.000981
calculix06,4,2.086709,0.742545,0.284179,1.549475,0.592998,9246.555184,85.066473,75.430948,0.003718,0.002559,0.084692,0.000965
calculix06,5,2.088511,0.734054,0.241964,1.53308,0.505344,11273.043478,75.996373,64.281337,0.003216,0.002154,0.084017,0.000947
calculix06,6,2.088667,0.727089,0.211318,1.518647,0.441373,14305.016722,69.423413,56.147729,0.003025,0.002043,0.083924,0.000938
calculix06,7,2.089547,0.734736,0.184197,1.535265,0.384888,15998.662207,65.170293,48.961096,0.002904,0.001793,0.083654,0.000919
calculix06,8,2.090105,0.732729,0.166233,1.531481,0.347444,18800.267559,58.447886,44.196648,0.002703,0.001673,0.083452,0.00091
calculix06,9,2.090336,0.730557,0.152301,1.527111,0.31836,20576.053512,53.575608,40.497078,0.002602,0.001566,0.083329,0.000903
crafty00,1,1.910061,0.100096,0.012749,0.191189,0.024352,1188.158845,8.135856,3.107308,0.001937,0.001267,0.207001,0.000128
crafty00,10,1.911689,0.093374,5.8E-05,0.178502,0.000111,2175.018051,0.009017,0.014169,0.000653,1E-06,0.20663,0.000105
crafty00,11,1.912312,0.091626,0.000114,0.175218,0.000218,1680,0.022552,0.027806,0.000651,1E-06,0.206105,0.000104
crafty00,2,1.910022,0.090426,0.002318,0.172715,0.004427,1472.635379,0.42121,0.56484,0.000831,0.000212,0.206372,0.000115
crafty00,3,1.911196,0.091935,0.00042,0.175706,0.000803,1355.379061,0.0293,0.102429,0.000671,3.8E-05,0.206025,0.000115
crafty00,4,1.908123,0.090852,8.3E-05,0.173358,0.000158,1599.133574,0.121513,0.020217,0.000633,2E-06,0.206285,0.00011
crafty00,5,1.914416,0.102675,7E-05,0.196562,0.000133,1385.126354,0.004515,0.01701,0.000734,2E-06,0.206138,0.000103
crafty00,6,1.913569,0.092904,5.3E-05,0.177779,0.000101,1667.870036,0.011283,0.0129,0.000656,1E-06,0.206009,0.000103
crafty00,7,1.91272,0.08769,7.9E-05,0.167727,0.000151,1977.761733,0.011279,0.019318,0.000608,1E-06,0.206008,0.000109
crafty00,8,1.91043,0.096561,4.8E-05,0.184473,9.2E-05,1765.198556,0.009012,0.011703,0.000658,1E-06,0.205993,0.000118
crafty00,9,1.914001,0.091092,6.9E-05,0.174351,0.000132,1161.588448,0.018058,0.016897,0.000636,1E-06,0.206146,0.000129
dealII06,1,2.292478,2.376275,1.673854,5.447558,3.837274,2366.287625,514.468808,486.571336,0.024661,0.021174,0.150593,0.005093
dealII06,10,2.325229,2.378514,0.473785,5.530589,1.101659,21922.675585,154.543929,139.687314,0.015255,0.010835,0.140057,0.005102
dealII06,11,2.321844,2.374125,0.417993,5.512348,0.970514,22569.364548,142.155586,123.059706,0.014753,0.010306,0.139525,0.005088
dealII06,2,2.300103,2.384949,1.392589,5.485629,3.203099,4759.598662,436.401118,406.12372,0.022225,0.018592,0.147644,0.005067
dealII06,3,2.305981,2.383862,1.196413,5.497141,2.758906,7023.946488,376.803817,349.797124,0.02064,0.016839,0.146107,0.005084
dealII06,4,2.310382,2.380487,1.042233,5.499834,2.407957,9658.060201,323.798521,305.317339,0.019209,0.015298,0.144694,0.005074
dealII06,5,2.311273,2.378879,0.900871,5.498239,2.082159,11928.294314,290.754217,264.006803,0.018127,0.014019,0.143834,0.005086
