BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
gobmk06,7,1.31949,1.007432,0.1768,1.329296,0.233286,16240,25.254994,29.75794,0.00816,0.004014,0.30551,0.006882
gobmk06,8,1.321276,0.954958,0.141855,1.261763,0.187429,17798.26087,19.26111,23.907858,0.007049,0.003096,0.304692,0.006704
gobmk06,9,1.321007,0.992951,0.106674,1.311696,0.140916,19951.839465,22.549501,17.974873,0.00639,0.002176,0.304533,0.006728
gromacs06,1,2.235398,0.729929,0.384316,1.631682,0.8591,2504.347826,102.185449,109.613871,0.00152,0.001226,0.081505,0.000905
gromacs06,10,2.238925,0.750121,0.000509,1.679465,0.00114,9677.591973,0.846342,0.145494,0.000356,2E-06,0.080072,0.000832
gromacs06,11,2.240987,0.755773,0.000381,1.693678,0.000853,11820.468227,0.288903,0.108844,0.000366,1E-06,0.079637,0.000897
gromacs06,2,2.23661,0.747218,0.211718,1.671236,0.47353,4357.993311,86.385593,60.421485,0.000971,0.000606,0.080602,0.000849
gromacs06,3,2.23954,0.740698,0.108778,1.658824,0.243612,7977.525084,19.945633,31.085269,0.000638,0.000301,0.080195,0.000883
gromacs06,4,2.240211,0.74181,0.055678,1.661811,0.124729,7393.177258,17.983877,15.915684,0.000469,0.000131,0.079935,0.000987
gromacs06,5,2.239571,0.745099,0.024548,1.668703,0.054977,9920.802676,1.786118,7.01517,0.000445,7.2E-05,0.079946,0.000919
gromacs06,6,2.240279,0.758031,0.009046,1.6982,0.020266,9833.043478,12.925483,2.586028,0.000397,3.5E-05,0.079908,0.000925
gromacs06,7,2.23768,0.758262,0.005267,1.696748,0.011785,9845.083612,0.67718,1.503763,0.000417,3.1E-05,0.080438,0.000909
gromacs06,8,2.240751,0.756205,0.0013,1.694467,0.002913,10239.732441,0.719727,0.371733,0.000417,5E-06,0.079846,0.000882
gromacs06,9,2.241249,0.746697,0.001053,1.673535,0.00236,10964.280936,0.203236,0.301123,0.000385,3E-06,0.079732,0.000832
h264ref06,1,2.924482,1.992521,0.942419,5.827093,2.756086,3654.046823,209.088442,351.390788,0.014013,0.011456,0.06722,0.000618
h264ref06,10,2.992,1.971054,0.003999,5.897394,0.011966,14101.137124,3.616394,1.525988,0.002941,6.5E-05,0.052284,0.000511
h264ref06,11,2.993845,1.98081,0.003625,5.930239,0.010853,15677.859532,2.281675,1.384024,0.002971,5.3E-05,0.052428,0.000515
h264ref06,2,2.9688,1.982734,0.354136,5.886341,1.05136,5619.264214,166.500093,134.064892,0.008254,0.005554,0.059583,0.000526
h264ref06,3,2.981778,1.981279,0.137305,5.907735,0.409412,8959.464883,55.451311,52.207967,0.005617,0.002859,0.05561,0.000547
h264ref06,4,2.989066,1.978415,0.071088,5.913613,0.212488,9035.183946,18.083453,27.09712,0.004379,0.001528,0.053852,0.000524
